"ID","FullSource"
"Abad1996","Abad, N., Caturla, R. N., Baeza, J., Bladé, C., Vieira, F., Carbó, E., Valdecantos, A., Bonet, A., Serrasolsas, I., Guàrdia, R., Raventós, J., Alloza, J. A., Escarré, A., Bellot, J., Vallejo, V. R. (1996). Regeneración de los montes quemados. Pages 51-148 in R. Vallejo, editor. La restauración de la cubierta vegetal en la Comunidad Valenciana. Fundación Centro de Estudios Ambientales del Mediterráneo, Valencia, Spain."
"Aguinagalde2005","Aguinagalde, I., Hampe, A., Martin, J.P., Duminil, J., Petit, R.J. (2005). Effects of life history traits and species distribution on genetic structure at maternally inherited markers in European trees and shrubs. Journal of Biogeography 32: 329-339."
"Albarracin2008","Madrigal, J., Hernando, C., Guijarro, M. (incendio@inia.es)"
"Alberdi2002","Alberdi, L., Cavero, Y. (2002). Effect of fire on the understorey species of a Quercus ilex L. subsp. ballota (Desf.) Samp. forest in Navarra, Spain. Pages 25-32 in L. Trabaud and R. Prodon, editors. Fire and biological processes. Backhuys Publishers, Leiden, The Netherlands."
"Alicante2008","Baeza, J.M. (jaime.baeza@ua.es)"
"Alla2013","Alla, A. Q., Camarero, J. J., Montserrat-Martí, G. (2013). Seasonal and inter-annual variability of bud development as related to climate in two coexisting Mediterranean Quercus species. Annals of Botany 111: 261-270."
"Alonso1992","Alonso, I., Luis, E., Tárrega, R. (1992). First phases of regeneration of Cistus laurifolius and Cistus ladanifer after burning and cutting in experimental plots. International Journal of Wildland Fire 2: 7-17."
"Alvarez2005","Alvarez, R., Valbuena, L., Calvo, L. (2005). Influence of tree age on seed germination response to environmental factors and inhibitory substances in Pinus pinaster. International Journal of Wildland Fire 14:277-284."
"Alvarez2007","Alvarez, R., Valbuena, L., Calvo, L. (2007). Effect of high temperatures on seed germination and seedling survival in three pine species (Pinus pinaster, P. sylvestris and P. nigra). International Journal of Wildland Fire 16: 63-70."
"Andrea2017","Scolastri, A., Bricca, A., Cancellieri, L., Cutini, M. (2017). Understory functional response to different management strategies in Mediterranean beech forests (central Apennines, Italy). Forest Ecology and Management 400: 665-676."
"Andres2002","Andrés, C., Ojeda, F. (2002). Effects of afforestation with pines on woody plant diversity of Mediterranean heathlands in southern Spain. Biodiversity and Conservation 11:1511-1520."
"Angosto1993","Angosto, T., Matilla, A.J. (1993). Germination, seed-coat structure and protein patterns of seeds from Adenocarpus decorticans and Astragalus granatensis growing at different altitudes. Seed Science and Technology 21: 317-326."
"Anorbe1990","Añorbe, M., Gómez-Gutiérrez, J. M., Pérez-Fernández, M. A., Fernández-Santos, B. (1990). Influencia de la temperatura sobre la germinación de semillas de Cytisus multiflorus (L’Hér) Sweet y Cytisus oromediterraneus Riv. Mart. Studia Oecologica 7: 86-100."
"Arianoutsou1979","Arianoutsou, M. (1979). Biological activity after fire in a phryganic ecosystem. PhD thesis (in Greek with an English summary). University of Thessaloniki, Greece."
"Arianoutsou1980","Arianoutsou, M., Diamantopoulus, J., Margaris, N. S. (1980). Fire behaviour of Ceratonia siliqua. Portugaliae Acta Biologica. Série A XVI: 67-74."
"Arianoutsou1981a","Arianoutsou, M., Margaris, N. S. (1981). Early stages of regeneration after fire in a phryganic ecosystem (East Mediterranean). I. Regeneration by seed germination. Biologie - Ecologie Méditerranéenne 8: 119-128."
"Arianoutsou1981b","Arianoutsou, M., Margaris, N. S. (1981). Producers and the fire cycle in a phryganic ecosystem. Pages 181-190 in N. S. Margaris, and H. A. Mooney, editors. Components of productivity of Mediterranean climate regions: basic and applied aspects. Dr. W. Junk, Dordrecht, The Netherlands."
"Arianoutsou1982","Arianoutsou-Faraggitaki, M., Margaris, N. S. (1982). Phryganic (east Mediterranean) ecosystems and fire. Ecologia Mediterranea VIII: 473-480."
"Arianoutsou1984","Arianoutsou, M. (1984). Post-fire successional recovery of a phrygamic (East Mediterranean) ecosystem. Acta Oecologica 5: 387-394."
