"TaxonID","SynName"
5475,"Acer syriacum Boiss. & Gaill."
5691,"Achillea maritima (L.) Ehrend. & Y.P. Guo ssp. maritima"
6899,"Achnatherum calamagrostis (L.) Beauv."
6766,"Aegilops ovata L."
6188,"Aetheorhiza bulbosa (L.) Cass. ssp. bulbosa"
6885,"Alyssum lapeyrousianum Jordan"
6134,"Anchusa aggregata Lehm."
5773,"Anchusa italica Retz."
1949,"Anisantha madritensis (L.) Nevski"
3365,"Antirrhinum litigiosum Pau"
2683,"Antirrhinum orontium L."
6887,"Arenaria leptoclados (Reichenb.) Guss."
1862,"Arisarum simorrhinum Durieu"
1881,"Asparagus horridus L."
6870,"Asphodelus albus Miller ssp. villarsii (Verlot ex Billot) I.B.K. Richardson & Smythies"
1887,"Asphodelus microcarpus Viv."
6665,"Asteriscus maritimus (L.) Less."
6886,"Asyneuma pichleri (Vis.) D. Lakusic & F. Conti"
6668,"Avellinia michelii (Savi) Parl."
1907,"Avena bromoides Gouan"
1906,"Avena wiestii Steud."
6900,"Avenula marginata (Lowe) J. Holub ssp. sulcata (Gay ex Delastre) Franco"
6900,"Avenula marginata (Lowe) J. Holub"
6900,"Avenula sulcata"
6895,"Ballota integrifolia Bentham"
3071,"Betonica officinalis L."
3382,"Betula verrucosa Ehrh."
5794,"Biscutella stenophylla Dufour"
2865,"Bituminaria bituminosa (L.) C.H. Stirt."
1939,"Brachypodium ramosum (L.) Roemer & Schultes"
1938,"Brachypodium rupestre (Host) Roemer & Schultes"
1947,"Bromopsis erecta (Huds.) Fourr."
1967,"Bupleurum fruticescens L. ssp. spinosum (Gouan) O. Bolòs & Vigo"
5363,"Calamintha incana (Sm.) Benth."
6960,"Cardaria draba (L.) Desv."
6871,"Carduus bourgeanus Boiss. & Reuter ssp. valentinus (Boiss. & Reuter) Franco"
6871,"Carduus valentinus Boiss. & Reuter"
2008,"Carex halleriana Asso"
6872,"Carlina corymbosa L. ssp. graeca (Boiss.) Nyman"
6872,"Carlina involucrata"
6898,"Cedrus libani A. Richard ssp. atlantica (Endl.) Batt. & Trabut"
6642,"Centaurea boisierii DC. ssp. paui (Loscos ex Willk.) Dostál"
2582,"Centaurea conifera L."
2033,"Centaurea jacea L. ssp. gaudinii (Boiss. & Reut.) Gremli"
2038,"Centaurea jacea L. ssp. vinyalsii (Senn.) O. Bolòs, J. Nuet et J. Panareda"
2045,"Centaurea saxicola Lag."
2035,"Centaurea segetum Hill"
2081,"Cerastium ramosissimum Boiss."
5818,"Chaenorhinum serpyllifolium (Lange) Lange ssp. robustum (Loscos) Mateo & Figuerola"
6989,"Cirsium acaule Scop."
6888,"Cistus albanicus Heywood"
3934,"Cistus incanus L."
1970,"Clinopodium nepeta (L.) Kuntze"
2139,"Convolvulus elegantissimus Miller"
6873,"Conyza bonariensis (L.) Cronq."
6874,"Conyza canadensis (L.) Cronq."
3461,"Coronilla coronata L."
3457,"Coronilla emerus L."
3466,"Coronilla varia L."
6188,"Crepis bulbosa (L.) Tausch"
6875,"Crepis foetida L. ssp. commutata (Spreng.) Babcock"
2176,"Crepis haenseleri (Boiss. ex DC.) P.D. Sell"
6418,"Crocus biflorus Mill. ssp. melantherus B. Mathew"
2206,"Cynosurus effusus Link"
3472,"Cytisus baeticus (Webb) Steudel"
3478,"Cytisus reverchonii (Degen & Hervier) Bean"
3481,"Cytisus sessilifolius L."
2230,"Daucus glaber Opiz ex Celak."
4784,"Delphinium nevadense G. Kunze"
6341,"Desmazeria rigida (L.) Tutin ssp. rigida"
6341,"Desmazeria rigida (L.) Tutin"
5832,"Dianthus turolensis Pau"
2250,"Distichoselinum tenuifolium (Lag.) García Martín & Silvestre"
2254,"Dorycnium suffruticosum Vill."
2289,"Draba verna L."
3208,"Drimia maritima (L.) Stearn"
6107,"Echinops viscosus DC."
3495,"Echium pustulatum Sibth. & Sm."
5697,"Elytrigia juncea (L.) Nevski ssp. juncea"
6095,"Erianthus ravennae (L.) Beauv."
2271,"Erica carnea L."
6873,"Erigeron crispus Pourret"
2328,"Festuca duriuscula"
2338,"Filago germanica Huds."
5846,"Fritillaria hispanica Boiss. & Reuter"
3523,"Fumana ericoides (Cav.) Gand. ssp. montana (Pomel) J. Güemes Heras & Muñoz Garmendia"
3966,"Fumana laevis (Cav.) Willk. ex Sennen"
2403,"Gentiana insubrica"
2415,"Gladiolus segetum Ker-Gawler"
2424,"Gypsophila hispanica Willk."
3971,"Halimium calycinum (L.) K. Koch"
3977,"Halimium umbellatum (L.) Spach ssp. viscosum (Willk.) O. Bolòs & Vigo"
6692,"Haplophyllum linifolium (L.) G. Don fil."
4524,"Hedypnois rhagadioloides (L.) F.W. Schmidt"
3984,"Helianthemum lavandulifolium Desf."
3985,"Helianthemum marifolium (L.) Mill. ssp. andalusicum (Font Quer & Rothm.) G. López"
4817,"Helianthemum oelandicum (L.) DC. ssp. incanum (Willk.) G. López"
6889,"Helianthemum origanifolium (Lam.) Pers. ssp. origanifolium"
3991,"Helianthemum rotundifolium Dunal"
3996,"Helianthemum tuberaria (L.) Miller"
5701,"Helichrysum microphyllum Cambess. ssp. tyrrhenicum Bacch., Brullo & Giusso"
2460,"Helichrysum picardii Boiss. & Reuter"
2460,"Helichrysum serotinum Boiss."
1907,"Helictochloa bromoides (Gouan) Romero Zarco"
6901,"Hepatica nobilis Schreber"
6894,"Hermodactylus tuberosus (L.) Miller"
6876,"Hieracium castellanum Boiss. & Reuter"
