"ID","Family","Genus","Species","Authority1","Infraname","Authority2"
"1761","Acanthaceae","Acanthus","spinosus","L.",NA,NA
"6562","Adoxaceae","Sambucus","ebulus","L.",NA,NA
"2967","Adoxaceae","Sambucus","nigra","L.",NA,NA
"6053","Adoxaceae","Sambucus","racemosa","L.",NA,NA
"3228","Adoxaceae","Viburnum","lantana","L.",NA,NA
"5191","Adoxaceae","Viburnum","opulus","L.",NA,NA
"5193","Adoxaceae","Viburnum","tinus","L.","ssp. tinus",NA
"3229","Adoxaceae","Viburnum","tinus","L.",NA,NA
"6855","Aizoaceae","Mesembryanthemum","crystallinum","L.",NA,NA
"6716","Aizoaceae","Mesembryanthemum","nodiflorum","L.",NA,NA
"4845","Alismataceae","Baldellia","ranunculoides","(L.) Parl.",NA,NA
"3869","Altingiaceae","Liquidambar","orientalis","Miller",NA,NA
"5765","Amaranthaceae","Amaranthus","blitoides","S. Watson",NA,NA
"1812","Amaranthaceae","Anabasis","articulata","(Forskål) Moq.",NA,NA
"5279","Amaranthaceae","Arthrocnemum","macrostachyum","(Moric.) Moris",NA,NA
"1905","Amaranthaceae","Atriplex","halimus","L.",NA,NA
"5281","Amaranthaceae","Atriplex","portulacoides","L.",NA,NA
"5283","Amaranthaceae","Atriplex","semibaccata","R.Br.",NA,NA
"5195","Amaranthaceae","Bosea","cypria","Hooker fil.",NA,NA
"1984","Amaranthaceae","Camphorosma","monspeliaca","L.",NA,NA
"5820","Amaranthaceae","Chenopodium","album","L.",NA,NA
"5285","Amaranthaceae","Halocnemum","strobilaceum","(Pallas) MB.",NA,NA
"6689","Amaranthaceae","Halogeton","sativus","(L.) Moq.",NA,NA
"5287","Amaranthaceae","Noaea","mucronata","(Forsskål) Ascherson & Schweinf.",NA,NA
"5914","Amaranthaceae","Polycnemum","majus","A. Braun",NA,NA
"2957","Amaranthaceae","Salsola","genistoides","Juss. ex Poiret",NA,NA
"6730","Amaranthaceae","Salsola","kali","L.",NA,NA
"6008","Amaranthaceae","Salsola","oppositifolia","Desf.",NA,NA
"2958","Amaranthaceae","Salsola","vermiculata","L.",NA,NA
"5289","Amaranthaceae","Sarcocornia","fruticosa","(L.) A. J. Scott",NA,NA
"5291","Amaranthaceae","Sarcocornia","perennis","(Miller) A. J. Scott",NA,NA
"5293","Amaranthaceae","Suaeda","aegyptiaca","(Hasselq.) Zohary",NA,NA
"5295","Amaranthaceae","Suaeda","vera","J. F. Gmelin",NA,NA
"6390","Amaryllidaceae","Acis","autumnalis","(L.) Sweet",NA,NA
"4100","Amaryllidaceae","Acis","longifolia","J.Gay ex M.Roem.",NA,NA
"4099","Amaryllidaceae","Acis","nicaeensis","(Ardoino) Lledó, A.P.Davis & M.B.Crespo",NA,NA
"6161","Amaryllidaceae","Allium","amethystinum","Tausch",NA,NA
"5760","Amaryllidaceae","Allium","ampeloprasum","L.",NA,NA
"6393","Amaryllidaceae","Allium","bourgeaui","Rech.f.","ssp. creticum","Bothmer"
"1794","Amaryllidaceae","Allium","cepa","L.",NA,NA
"1795","Amaryllidaceae","Allium","ericetorum","Thore",NA,NA
"3286","Amaryllidaceae","Allium","flavum","L.","ssp. tauricum","(Besser ex Reichenb.) Stearn"
"6163","Amaryllidaceae","Allium","hirtovaginatum","Kunth",NA,NA
"1796","Amaryllidaceae","Allium","insubricum","Boiss. & Reuter",NA,NA
"4671","Amaryllidaceae","Allium","paniculatum","L.","ssp. paniculatum",NA
"6830","Amaryllidaceae","Allium","roseum","L.",NA,NA
"6165","Amaryllidaceae","Allium","sandrasicum","Kollmann, Özhatay & Bothmer",NA,NA
"4423","Amaryllidaceae","Allium","schoenoprasum","L.",NA,NA
"1798","Amaryllidaceae","Allium","sphaerocephalon","L.",NA,NA
"1800","Amaryllidaceae","Allium","stamineum","Boiss.",NA,NA
"6395","Amaryllidaceae","Allium","staticiforme","Sm.",NA,NA
"1801","Amaryllidaceae","Allium","subhirsutum","L.",NA,NA
"1802","Amaryllidaceae","Allium","triquetrum","L.",NA,NA
"1803","Amaryllidaceae","Allium","ursinum","L.",NA,NA
"2581","Amaryllidaceae","Leucojum","vernum","L.",NA,NA
"6397","Amaryllidaceae","Narcissus","cavanillesii","Barra & G. López",NA,NA
"6399","Amaryllidaceae","Narcissus","confusus","Pugsley",NA,NA
"4408","Amaryllidaceae","Narcissus","dubius","Gouan",NA,NA
"6401","Amaryllidaceae","Narcissus","hispanicus","Gouan",NA,NA
"2695","Amaryllidaceae","Narcissus","papyraceus","Ker-Gawler",NA,NA
"4718","Amaryllidaceae","Narcissus","pseudo","L.","ssp. nevadensis","(Pugsley) A. Fernandes"
"2696","Amaryllidaceae","Narcissus","requienii","M.J. Roemer",NA,NA
"6405","Amaryllidaceae","Narcissus","rupicola","Dufour",NA,NA
"6407","Amaryllidaceae","Narcissus","serotinus","L.",NA,NA
"2697","Amaryllidaceae","Narcissus","tazetta","L.",NA,NA
"5511","Amaryllidaceae","Narcissus","triandrus","L.","ssp. pallidulus","(Graells) D.A. Webb"
"5686","Amaryllidaceae","Pancratium","maritimum","L.",NA,NA
"6168","Amaryllidaceae","Sternbergia","clusiana","(Ker Gawl.) Ker Gawl. ex Spreng.",NA,NA
"2165","Anacardiaceae","Cotinus","coggygria","Scop.",NA,NA
"2814","Anacardiaceae","Pistacia","atlantica","Desf.",NA,NA
"2815","Anacardiaceae","Pistacia","lentiscus","L.",NA,NA
"3279","Anacardiaceae","Pistacia","terebinthus","L.","ssp. palaestina","(Boiss.) Engler"
"2816","Anacardiaceae","Pistacia","terebinthus","L.",NA,NA
"2923","Anacardiaceae","Rhus","coriaria","L.",NA,NA
"3285","Apiaceae","Ainsworthia","trachycarpa","Boiss.",NA,NA
"5767","Apiaceae","Ammi","majus","L.",NA,NA
"5516","Apiaceae","Ammoides","pusilla","(Brot.) Breistr.",NA,NA
"1844","Apiaceae","Apium","nodiflorum","(L.) Lag.",NA,NA
"3289","Apiaceae","Artedia","squamata","L.",NA,NA
"1901","Apiaceae","Astrantia","major","L.",NA,NA
